Ri,Na,Mg,Al,Si,K,Ca,Ba,Fe,Type
1.51793,12.79,3.5,1.12,73.03,,8.77,0,0,'build wind float'
1.51643,12.16,3.52,1.35,72.89,,8.53,0,,'vehic wind float'
1.51793,,3.48,1.41,,0.59,8.43,,0,'build wind float'
1.51299,14.4,1.74,1.54,,,,,0,tableware
1.53393,12.3,0,1,70.16,0.12,16.19,,0.24,'build wind non-float'
1.51655,,2.85,1.44,73.27,0.57,8.79,0.11,0.22,'build wind non-float'
1.51779,13.64,3.65,0.65,73,0.06,8.93,0,0,'vehic wind float'
1.51837,13.14,,1.28,72.85,0.55,9.07,0,0,'build wind float'
1.51545,14.14,0,2.68,73.39,0.08,,0.61,,headlamps
1.51789,13.19,3.9,1.3,72.33,0.55,8.44,,0.28,'build wind non-float'
1.51625,,3.58,1.49,,0.45,,0,,'build wind non-float'
,12.2,3.25,1.16,73.55,0.62,8.9,0,0.24,'build wind non-float'
1.52223,13.21,3.77,0.79,71.99,0.13,,0,0,'build wind float'
1.52121,,3.76,0.58,71.79,,9.65,0,0,'vehic wind float'
1.51665,13.14,3.45,1.76,72.48,0.6,8.38,,0.17,'vehic wind float'
1.51707,13.48,,1.71,72.52,0.62,7.99,0,0,'build wind non-float'
,14.75,0,2,73.02,0,,1.59,,headlamps
,12.71,3.33,1.49,,0.67,,0,0,'build wind non-float'
1.51994,13.27,0,1.76,73.03,0.47,11.32,0,,containers
,12.96,2.96,1.43,72.92,0.6,8.79,0.14,0,'build wind non-float'
1.52152,13.05,,0.87,72.22,0.19,9.85,0,0.17,'build wind float'
1.52475,11.45,0,,72.19,0.81,13.24,0,0.34,'build wind non-float'
,12.93,3.74,1.11,72.28,0.64,8.96,0,0.22,'build wind non-float'
1.51754,,3.66,,72.79,,,0,0.11,'build wind float'
,12.85,1.61,2.17,,0.76,9.7,0.24,0.51,containers
,13.24,3.49,1.47,73.25,0.38,8.03,0,0,'build wind non-float'
1.5159,,3.52,1.9,72.86,,7.97,0,0,'build wind non-float'
1.51683,14.56,0,,73.29,,,,,headlamps
1.51687,13.23,3.54,1.48,72.84,,8.1,,0,'build wind non-float'
1.5161,13.33,,1.34,72.67,0.56,,0,0,'vehic wind float'
1.51674,,3.56,1.64,73.14,0.65,7.99,0,0,'build wind non-float'
1.51832,13.33,,1.54,72.14,,8.99,0,0,'vehic wind float'
1.51115,,,0.34,75.41,0,6.65,0,0,tableware
1.51645,,3.61,,72.39,0.66,8.03,0,0,'build wind non-float'
,13,3.6,1.36,72.99,0.57,,,0.11,'build wind float'
1.51571,12.72,3.46,,73.2,0.67,,0,0.24,'build wind float'
1.51596,12.79,3.61,,,0.64,8.07,0,0.26,'build wind float'
1.5173,,2.72,1.63,,0.7,,0,0,'build wind non-float'
,12.85,3.51,1.44,73.01,0.68,8.23,0.06,0.25,'build wind non-float'
,14.25,3.09,2.08,72.28,1.1,7.08,,,'build wind non-float'
1.51797,12.74,3.48,1.35,72.96,0.64,8.68,0,0,'build wind float'
1.51806,13,3.8,1.08,73.07,0.56,8.38,0,0.12,'build wind non-float'
1.51627,13,3.58,1.54,,0.61,8.04,0,0,'build wind non-float'
1.5159,13.24,3.34,1.47,73.1,0.39,8.22,0,0,'build wind non-float'
1.51934,13.64,3.54,0.75,,0.16,8.89,0.15,0.24,'vehic wind float'
1.51755,,3.42,1.2,,0.59,8.64,0,0,'build wind float'
,14.01,2.68,3.5,,1.68,5.87,2.2,0,containers
1.51766,13.21,3.69,1.29,,0.57,8.22,,0,'build wind float'
,13.08,3.49,1.28,72.86,0.6,8.49,0,,'build wind float'
1.52177,,3.68,,,0.54,8.52,0,0,'build wind non-float'
,12.57,3.47,1.38,,,8.55,0,0.06,'build wind float'
,13.2,3.63,1.07,,,,0.09,,'build wind non-float'
1.51743,13.3,,1.14,,0.58,8.17,0,0,'build wind float'
1.51593,13.09,3.59,,73.1,0.67,7.83,,0,'build wind non-float'
,14.37,0,2.74,72.85,0,9.45,0.54,0,headlamps
1.51735,13.02,,1.69,72.73,,8.44,0,0.07,'build wind float'
1.52247,,2.2,,,0.76,9.76,0,,headlamps
1.52099,13.69,3.59,1.12,71.96,0.09,9.4,0,0,'build wind float'
,13.65,3.66,1.11,72.77,,8.6,0,0,'vehic wind float'
1.51846,13.41,3.89,,72.38,0.51,8.28,0,,'build wind non-float'
1.51848,13.64,3.87,1.27,71.96,0.54,8.32,0,,'build wind non-float'
,13.6,3.62,1.11,72.64,,8.76,,0,'build wind float'
,13.29,,1.21,,0.56,,0,0,'build wind float'
,14.21,3.82,0.47,,0.11,,0,0,'build wind float'
1.5232,13.72,3.72,0.51,71.75,,10.06,0,0.16,'build wind float'
1.51556,,0,2.54,,0.14,9.41,,0.01,headlamps
1.51926,13.2,3.33,1.28,72.36,0.6,,0,,'build wind float'
1.52211,14.19,,0.91,71.36,0.23,9.14,0,0.37,'vehic wind float'
,10.73,,2.1,69.81,,13.3,3.15,,'build wind non-float'
1.52152,13.05,3.65,0.87,72.32,0.19,9.85,,,'build wind float'
1.51829,,,1.62,72.38,0,9.26,0,,tableware
,13.46,3.83,1.26,72.55,0.57,8.21,0,0.14,'build wind non-float'
1.51888,,0.78,1.74,72.5,0,9.95,0,0,tableware
1.51829,13.24,3.9,1.41,72.33,,,0,0.1,'build wind non-float'
1.523,13.31,3.58,0.82,71.99,0.12,10.17,0,0.03,'build wind float'
1.51652,13.56,,,72.45,0.64,,0,0,'build wind non-float'
,12.56,3.52,1.43,73.15,0.57,8.54,0,0,'build wind float'
1.51215,12.99,3.47,1.12,,0.62,8.35,0,0.31,'build wind float'
1.51646,13.04,3.4,1.26,73.01,0.52,8.58,0,,'vehic wind float'
1.51721,12.87,3.48,1.33,73.04,0.56,8.43,,0,'build wind float'
,12.8,3.66,1.27,73.01,,8.56,0,,'build wind float'
,13.27,3.62,,73.08,0.55,8.07,0,0,'build wind float'
1.52127,,,,71.5,0,9.49,0,0,'vehic wind float'
,13.21,3.39,,72.76,0.59,8.59,0,0,'build wind float'
1.52171,11.56,1.88,,72.86,0.47,11.41,0,,containers
1.518,13.71,3.93,1.54,71.81,,,0,0.15,'build wind non-float'
1.52777,12.64,0,0.67,,0.06,,0,,'build wind non-float'
1.5175,12.82,3.55,1.49,,0.54,8.52,0,0.19,'build wind float'
1.51764,12.98,3.54,1.21,73,,8.53,0,0,'build wind float'
1.52177,13.75,,1.36,72.19,0.33,11.14,0,0,'build wind non-float'
1.51645,14.94,0,1.87,73.11,0,8.67,1.38,0,headlamps
1.51786,12.73,3.43,1.19,72.95,,,,,'build wind float'
1.52152,13.12,3.58,0.9,,0.23,9.82,0,0.16,'build wind float'
1.51937,,2.41,1.19,,0,,0,0,tableware
1.51514,14.85,,2.42,,0,8.39,0.56,0,headlamps
1.52172,13.48,3.74,0.9,,0.18,9.61,0,0.07,'build wind float'
1.51732,14.95,0,,72.99,0,,1.55,0,headlamps
1.5202,13.98,,1.63,,,10.56,0,0.18,'build wind non-float'
,12.9,3.44,,73.06,0.44,8.27,0,0,'build wind non-float'
1.51847,13.1,3.97,1.19,72.44,0.6,8.43,0,0,'build wind non-float'
1.51761,13.89,3.6,1.36,72.73,0.48,7.83,,0,'build wind float'
1.51673,13.3,3.64,1.53,72.53,0.65,8.03,0,0.29,'build wind non-float'
,15.79,,,,,8.61,1.68,,headlamps
1.51685,,0,1.99,,0,8.4,,0,headlamps
1.51658,,0,1.99,,0,,1.71,0,headlamps
,13.02,0,,70.48,6.21,,0,0,containers
1.51709,13,3.47,1.79,72.72,0.66,8.18,0,0,'build wind non-float'
1.51727,14.7,,2.34,,0,8.95,0.66,0,headlamps
1.51898,13.58,,1.23,72.08,0.59,8.91,,0,'build wind float'
1.51969,12.64,0,1.65,73.75,0.38,,0,0,containers
1.5182,12.62,2.76,,73.81,0.35,,0,,'build wind non-float'
,14.95,0,,73.3,0,8.71,0.67,,headlamps
1.51911,13.9,3.73,1.18,72.12,0.06,8.89,0,0,'build wind float'
1.51651,14.38,,,73.61,0,8.48,1.57,0,headlamps
1.51694,,3.58,,72.61,,8.79,0,0,'vehic wind float'
1.52315,,,,72.38,0.6,8.83,0,0,headlamps
1.52068,13.55,2.09,1.67,72.18,0.53,,0.27,0.17,'build wind non-float'
1.51838,14.32,,2.22,71.25,1.46,5.79,1.63,,headlamps
1.51818,13.72,,0.56,74.45,0,10.99,0,0,'build wind non-float'
1.51769,12.45,2.71,1.29,,0.56,,0,0.24,'build wind float'
1.5166,12.99,,1.23,72.97,,8.81,0,0.24,'build wind non-float'
1.51589,12.88,3.43,1.4,73.28,0.69,,0,0.24,'build wind float'
,13.83,2.9,1.17,71.15,,10.79,,0,'build wind non-float'
1.52725,13.8,3.15,0.66,70.57,0.08,11.64,0,0,'build wind non-float'
1.52119,12.97,0.33,1.51,73.39,0.13,11.27,0,0.28,containers
1.51748,,3.56,,73.21,0.54,,0,0.17,'build wind float'
,11.95,0,1.19,,2.7,8.93,0,0,headlamps
1.51623,14.14,0,2.88,72.61,0.08,9.18,,0,headlamps
1.52101,,4.49,1.1,,,,0,0,'build wind float'
1.51763,,,,73.29,0.58,8.5,0,0,'build wind float'
1.51596,13.02,3.56,1.54,73.11,0.72,,0,0,'build wind non-float'
1.51674,,3.52,1.54,73.36,0.66,7.9,0,,'build wind non-float'
1.52065,,0,2.02,73.42,0,,1.64,0,headlamps
1.51768,12.65,3.56,1.3,73.08,0.61,8.69,0,0.14,'build wind float'
1.52369,13.44,0,,,0.32,,,0,containers
,13.15,3.61,,,0.57,8.24,,0,'build wind float'
1.51754,13.48,3.74,1.17,72.99,0.59,8.03,0,0,'build wind float'
1.51711,12.89,,1.57,72.96,0.61,8.11,0,,'build wind non-float'
1.5221,13.73,3.84,,,0.17,9.74,0,,'build wind float'
1.51594,,3.52,1.55,72.87,,8.05,,,'build wind non-float'
1.51784,12.68,3.67,1.16,73.11,0.61,8.7,0,0,'build wind float'
1.51909,13.89,,1.32,71.81,0.51,8.78,0.11,0,'build wind float'
1.51977,,3.58,1.32,71.72,0.12,8.67,0.69,0,'build wind float'
1.51666,12.86,0,,,0.97,10.17,0,,containers
1.51631,13.34,,1.57,72.87,0.61,,0,0,'build wind non-float'
1.51872,12.93,,1.56,72.51,0.58,8.55,0,,'build wind non-float'
1.51708,13.72,3.68,1.81,72.06,0.64,7.88,0,0,'build wind non-float'
1.52081,13.78,,1.43,71.99,0.49,9.85,0,0.17,'build wind non-float'
1.51574,,3.67,,71.87,0.16,7.36,0,,'build wind non-float'
1.51813,13.43,3.98,1.18,72.49,,8.15,0,0,'build wind non-float'
1.51131,13.69,,1.81,72.81,,,1.19,0,headlamps
1.52227,14.17,3.81,0.78,71.35,,9.69,0,0,'build wind float'
1.52614,13.7,,1.36,71.24,0.19,,,,'build wind non-float'
1.51811,13.33,3.85,1.25,72.78,0.52,8.12,,,'build wind non-float'
1.51655,13.41,3.39,1.28,72.64,0.52,8.65,0,0,'vehic wind float'
1.51751,12.81,,1.35,,0.62,8.59,0,,'build wind float'
,15.15,0,2.25,,0,8.34,0.63,0,headlamps
1.51915,12.73,1.85,,72.69,0.6,,0,0,containers
1.51966,14.77,3.75,0.29,72.02,0.03,9,0,0,'build wind float'
1.51844,13.25,3.76,1.32,,,8.42,0,,'build wind non-float'
1.52664,11.23,,0.77,73.21,0,14.68,0,0,'build wind non-float'
1.52172,13.51,,0.88,71.79,0.23,9.54,0,0.11,'build wind float'
1.51602,,0,2.38,73.28,0,,,0.09,headlamps
,13,0,3.02,70.7,6.21,,0,0,containers
1.52739,11.02,0,0.75,73.08,,,,0,'build wind non-float'
1.52213,14.21,3.82,0.47,71.77,0.11,9.57,,0,'build wind float'
1.51747,12.84,3.5,1.14,73.27,0.56,,0,0,'build wind float'
1.51839,12.85,3.67,,72.57,,8.68,,0.35,'build wind non-float'
1.51646,13.41,3.55,1.25,,0.68,,0,0,'build wind non-float'
1.51609,15.01,0,2.51,73.05,,8.83,0.53,0,headlamps
1.51667,12.94,,1.26,72.75,,,0,0,'build wind non-float'
1.51588,13.12,3.41,,73.26,0.07,8.39,,0.19,'build wind non-float'
1.52667,13.99,3.7,0.71,71.57,0.02,9.82,0,0.1,'build wind float'
1.51831,14.39,0,,,,6.47,2.88,0,headlamps
1.51918,14.04,3.58,1.37,72.08,0.56,,0,,'build wind float'
1.51613,13.88,1.78,,73.1,0,8.67,0.76,0,headlamps
1.52196,14.36,3.85,0.89,71.36,,9.15,,0,'build wind float'
1.51824,12.87,3.48,,72.95,0.6,8.43,0,0,'build wind float'
1.52151,11.03,1.71,1.56,73.44,0.58,11.62,0,0,containers
,14.56,0,0.56,73.48,,11.22,,0,tableware
1.51618,13.01,3.5,1.48,72.89,0.6,8.12,,0,'build wind non-float'
1.51645,13.4,3.49,1.52,72.65,0.67,8.08,0,0.1,'build wind non-float'
1.51796,13.5,3.36,,,0.57,8.81,0,0.09,'vehic wind float'
1.52222,,0,1,72.67,0.1,11.52,0,0.08,'build wind non-float'
1.51783,12.69,,1.34,72.95,0.57,,0,0,'build wind float'
1.51711,,0,2.08,73.36,0,8.62,,0,headlamps
1.51736,12.78,3.62,1.29,72.79,0.59,8.7,,0,'build wind float'
1.51808,13.43,2.87,,,0.55,,0,,'build wind float'
1.5167,13.24,3.57,1.38,72.7,0.56,8.44,0,,'vehic wind float'
,13.38,0,,72.25,0.33,12.5,0,0,containers
1.519,13.49,3.48,1.35,71.95,0.55,9,,0,'build wind float'
,13.21,2.81,1.29,72.98,0.51,9.02,0,0.09,'build wind float'
1.51905,14,,,,0,,,,tableware
1.51531,14.38,0,2.66,73.1,,9.08,0.64,0,headlamps
1.51916,14.15,,2.09,72.74,0,10.88,0,,tableware
1.51841,13.02,3.62,1.06,72.34,0.64,9.13,0,0.15,'build wind non-float'
,13.02,3.58,1.51,73.12,0.69,,0,0,'build wind non-float'
,13.25,,1.43,73.17,0.61,7.86,,0,'build wind non-float'
1.5164,12.55,3.48,,,0.63,8.08,0,0.09,'build wind non-float'
1.51663,12.93,3.54,1.62,72.96,0.64,,0,0.21,'build wind non-float'
,13.33,3.54,1.61,,0.68,8.11,0,0,'build wind non-float'
1.51869,13.19,3.37,1.18,72.72,0.57,8.83,0,0.16,'build wind float'
,,3.41,1.52,72.04,0.58,8.79,0,0,'vehic wind float'
1.51775,12.85,3.48,,72.97,0.61,8.56,0.09,0.22,'build wind float'
1.5186,,3.43,1.43,72.26,0.51,8.6,,0,'build wind non-float'
1.5172,13.38,3.5,1.15,72.85,0.5,,0,0,'build wind float'
1.51623,14.2,0,2.79,73.46,0.04,9.04,0.4,0.09,headlamps
,13.53,3.55,1.54,72.99,,7.78,0,0,'build wind float'
1.51761,12.81,3.54,1.23,,0.58,8.39,,0,'build wind float'
1.5161,13.42,3.4,1.22,,0.59,8.32,0,0,'vehic wind float'
1.51592,12.86,3.52,,,0.69,7.97,0,0,'build wind non-float'
1.51613,13.92,3.52,1.25,72.88,0.37,7.94,0,0.14,'build wind non-float'
1.51689,12.67,2.88,1.71,73.21,0.73,8.54,0,0,'build wind non-float'
,14.09,2.19,1.66,72.67,0,9.32,0,0,tableware